"down","distance","pass","avg_yards_gained","avg_epa","count"
4,50,"1",0,0,0
4,50,"0",0,0,0
4,49,"1",0,0,0
4,49,"0",0,0,0
4,48,"1",0,0,0
4,48,"0",0,0,0
4,47,"1",0,0,0
4,47,"0",0,0,0
4,46,"1",0,0,0
4,46,"0",0,0,0
4,45,"1",0,0,0
4,45,"0",0,0,0
4,44,"1",0,0,0
4,44,"0",0,0,0
4,43,"1",0,0,0
4,43,"0",0,0,0
4,42,"1",0,0,0
4,42,"0",0,0,0
4,41,"1",0,0,0
4,41,"0",0,0,0
4,40,"1",0,0,0
4,40,"0",0,0,0
4,39,"1",0,0,0
4,39,"0",0,0,0
4,38,"1",0,0,0
4,38,"0",0,0,0
4,37,"1",0,0,0
4,37,"0",0,0,0
4,36,"1",0,0,0
4,36,"0",0,0,0
4,35,"1",0,0,0
4,35,"0",0,0,0
4,34,"1",0,0,0
4,34,"0",0,0,0
4,33,"1",0,0,0
4,33,"0",0,0,0
4,32,"0",0,0,0
4,31,"1",0,0,0
4,31,"0",0,0,0
4,30,"1",0,0,0
4,30,"0",0,0,0
4,29,"1",0,0,0
4,29,"0",0,0,0
4,28,"1",0,0,0
4,28,"0",0,0,0
4,27,"1",0,0,0
4,27,"0",0,0,0
4,26,"1",0,0,0
4,26,"0",0,0,0
4,25,"1",0,0,0
4,25,"0",0,0,0
4,24,"1",0,0,0
4,24,"0",0,0,0
4,23,"1",0,0,0
4,23,"0",0,0,0
4,22,"1",0,0,0
4,22,"0",0,0,0
4,21,"1",0,0,0
4,21,"0",0,0,0
4,20,"0",0,0,0
4,19,"1",0,0,0
4,19,"0",0,0,0
4,18,"1",0,0,0
4,18,"0",0,0,0
4,17,"1",0,0,0
4,17,"0",0,0,0
4,16,"0",0,0,0
4,15,"1",0,0,0
4,15,"0",0,0,0
4,14,"0",0,0,0
4,13,"1",0,0,0
4,11,"0",0,0,0
4,9,"0",0,0,0
4,6,"0",0,0,0
4,4,"0",0,0,0
3,50,"1",0,0,0
3,50,"0",0,0,0
3,49,"1",0,0,0
3,49,"0",0,0,0
3,48,"1",0,0,0
3,48,"0",0,0,0
3,47,"1",0,0,0
3,47,"0",0,0,0
3,46,"1",0,0,0
3,46,"0",0,0,0
3,45,"1",0,0,0
3,45,"0",0,0,0
3,44,"1",0,0,0
3,44,"0",0,0,0
3,43,"1",0,0,0
3,43,"0",0,0,0
3,42,"1",0,0,0
3,42,"0",0,0,0
3,41,"1",0,0,0
3,41,"0",0,0,0
3,40,"0",0,0,0
3,39,"1",0,0,0
3,39,"0",0,0,0
3,38,"1",0,0,0
3,38,"0",0,0,0
3,37,"1",0,0,0
3,37,"0",0,0,0
3,36,"0",0,0,0
3,35,"1",0,0,0
3,35,"0",0,0,0
3,34,"1",0,0,0
3,34,"0",0,0,0
3,33,"1",0,0,0
3,33,"0",0,0,0
3,32,"1",0,0,0
3,32,"0",0,0,0
3,31,"1",0,0,0
3,31,"0",0,0,0
3,30,"1",0,0,0
3,29,"1",0,0,0
3,25,"0",0,0,0
3,24,"1",0,0,0
2,50,"1",0,0,0
2,50,"0",0,0,0
2,49,"1",0,0,0
2,49,"0",0,0,0
2,48,"1",0,0,0
2,48,"0",0,0,0
2,47,"1",0,0,0
2,47,"0",0,0,0
2,46,"1",0,0,0
2,46,"0",0,0,0
2,45,"1",0,0,0
2,45,"0",0,0,0
2,44,"1",0,0,0
2,44,"0",0,0,0
2,43,"1",0,0,0
2,42,"1",0,0,0
2,42,"0",0,0,0
2,41,"1",0,0,0
2,41,"0",0,0,0
2,40,"1",0,0,0
2,40,"0",0,0,0
2,39,"1",0,0,0
2,39,"0",0,0,0
2,38,"1",0,0,0
2,38,"0",0,0,0
2,37,"1",0,0,0
2,37,"0",0,0,0
2,36,"1",0,0,0
2,36,"0",0,0,0
2,35,"1",0,0,0
2,35,"0",0,0,0
2,34,"1",0,0,0
2,34,"0",0,0,0
2,33,"1",0,0,0
2,33,"0",0,0,0
2,32,"0",0,0,0
2,31,"1",0,0,0
2,31,"0",0,0,0
2,30,"1",0,0,0
2,30,"0",0,0,0
2,29,"0",0,0,0
2,28,"0",0,0,0
2,27,"1",0,0,0
2,27,"0",0,0,0
2,26,"0",0,0,0
2,22,"0",0,0,0
1,50,"1",0,0,0
1,50,"0",0,0,0
1,49,"1",0,0,0
1,49,"0",0,0,0
1,48,"1",0,0,0
1,48,"0",0,0,0
1,47,"1",0,0,0
1,47,"0",0,0,0
1,46,"1",0,0,0
1,46,"0",0,0,0
1,45,"1",0,0,0
1,45,"0",0,0,0
1,44,"1",0,0,0
1,44,"0",0,0,0
1,43,"1",0,0,0
1,43,"0",0,0,0
1,42,"1",0,0,0
1,42,"0",0,0,0
1,41,"1",0,0,0
1,41,"0",0,0,0
1,40,"1",0,0,0
1,40,"0",0,0,0
1,39,"1",0,0,0
1,39,"0",0,0,0
1,38,"1",0,0,0
1,38,"0",0,0,0
1,37,"1",0,0,0
1,37,"0",0,0,0
1,36,"1",0,0,0
1,36,"0",0,0,0
1,35,"1",0,0,0
1,35,"0",0,0,0
1,34,"1",0,0,0
1,34,"0",0,0,0
1,33,"1",0,0,0
1,33,"0",0,0,0
1,32,"1",0,0,0
1,32,"0",0,0,0
1,31,"1",0,0,0
1,31,"0",0,0,0
1,30,"1",0,0,0
1,30,"0",0,0,0
1,29,"1",0,0,0
1,29,"0",0,0,0
1,28,"1",0,0,0
1,28,"0",0,0,0
1,27,"1",0,0,0
1,27,"0",0,0,0
1,26,"1",0,0,0
1,26,"0",0,0,0
1,24,"0",0,0,0
1,23,"1",0,0,0
1,23,"0",0,0,0
1,22,"1",0,0,0
1,21,"1",0,0,0
1,19,"0",0,0,0
1,18,"1",0,0,0
1,16,"1",0,0,0
1,14,"1",0,0,0
1,12,"1",0,0,0
1,11,"0",0,0,0
1,1,"1",0,0,0
1,1,"0",0.411764705882353,-0.046099376500475,17
1,2,"0",1.52631578947368,0.342245878793153,19
1,2,"1",0.5,-0.249798759855455,4
1,3,"0",0.352941176470588,-0.0017325647965458,17
1,3,"1",3,1.58057762437141,1
1,4,"0",2.18181818181818,0.0264585568497872,11
1,4,"1",-1.25,-1.59998536218218,4
1,5,"0",3.73076923076923,-0.237722891149175,26
1,5,"1",-0.0909090909090909,-0.417216904240741,11
1,6,"0",2.22222222222222,-0.0348591137181329,9
1,6,"1",1.42857142857143,-0.0950909341795446,7
1,7,"0",2.85714285714286,0.367571898033179,14
1,7,"1",2.5,0.439125233542341,2
1,8,"0",3,0.237788114248891,12
1,8,"1",1.4,-0.271439871237791,5
1,9,"0",3.92307692307692,0.2238881363366,13
1,9,"1",11,1.4694254324367,3
1,10,"0",5.50832072617247,-0.0441610351464444,1322
1,10,"1",7.79080252479711,0.0933005890371146,1109
1,11,"1",0,-0.835916649907956,1
1,12,"0",6,0.227122429483579,2
1,13,"0",2,0.422072734867823,1
1,13,"1",0,-0.402982505109032,2
1,14,"0",3.66666666666667,-0.234975418876197,3
1,15,"0",4.1,-0.188656714383217,20
1,15,"1",8.15,0.120225347070829,40
1,16,"0",3.33333333333333,0.0775623600385257,3
1,17,"0",21,1.18272130073484,1
1,17,"1",10,0.0514364664304845,2
1,18,"0",-1,-0.55073245088894,1
1,19,"1",0,-0.649567317556452,1
1,20,"0",6.7,0.0255617253435884,10
1,20,"1",6.30769230769231,0.0314159332489792,13
1,21,"0",2,-0.56947125694084,1
1,22,"0",1,-0.818582995230429,1
1,24,"1",24,4.32509401039852,1
1,25,"0",3.5,-0.310422081357245,2
1,25,"1",7.75,0.271079932112617,4
2,0,"1",0,-0.330073274099438,1
2,1,"0",4.63636363636364,-0.143853873751999,88
2,1,"1",5.85714285714286,-0.244361842128294,21
2,2,"0",4.42307692307692,-0.00496661460593872,78
2,2,"1",5.375,0.303220040739118,16
2,3,"0",6.04225352112676,0.0864725665403096,71
2,3,"1",3.52173913043478,-0.0969885601256075,23
2,4,"0",4.55696202531646,0.0221386002451486,79
2,4,"1",6.29032258064516,0.312452380814865,31
2,5,"0",6.41025641025641,0.211159993934905,78
2,5,"1",3.61666666666667,-0.470125125686773,60
2,6,"0",5.94666666666667,0.232266588751765,75
2,6,"1",4.51724137931035,-0.0530897528373223,58
2,7,"0",4.31746031746032,-0.115863701950496,63
2,7,"1",6.06315789473684,-0.00282600849911188,95
2,8,"0",5.98611111111111,0.0592123982815994,72
2,8,"1",6.3125,0.163394991925953,112
2,9,"0",5.69230769230769,0.0645361813881366,39
2,9,"1",7.25925925925926,0.225472154320095,81
2,10,"0",7.12121212121212,0.121471124219491,165
2,10,"1",6.65037593984962,0.0467087200330271,266
2,11,"0",4.05263157894737,-0.448553535060371,19
2,11,"1",8.08771929824561,0.399828702261184,57
2,12,"0",3.09090909090909,-0.326154831248909,22
2,12,"1",5.53125,-0.0446104557900273,32
2,13,"0",3.19230769230769,-0.300715141905277,26
2,13,"1",8.91304347826087,0.250349420626363,23
2,14,"0",2,-0.41696273476526,10
2,14,"1",2.63636363636364,-0.671194635440806,22
2,15,"0",6.16666666666667,-0.00986985370375578,12
2,15,"1",4.23529411764706,-0.529416695802439,34
2,16,"0",2.6,-0.131443660829845,5
2,16,"1",6.31578947368421,-0.147389898152892,19
2,17,"0",7.5,-0.0648114994870292,4
2,17,"1",2.44444444444444,-0.605848375386757,9
2,18,"0",4.4,-0.174631901788251,5
2,18,"1",11.1428571428571,-0.180459585811744,7
2,19,"0",-2.5,-1.23527493113126,2
2,19,"1",11.0714285714286,0.191572514023416,14
2,20,"0",5.16666666666667,-0.317341510471443,6
2,20,"1",9.76923076923077,0.442806475239003,13
2,21,"0",1.6,-0.698817304433789,5
2,21,"1",1.4,-0.805983657239738,5
2,22,"1",12,0.483847294839736,2
2,23,"0",15,0.727259030197388,1
2,23,"1",18,1.77369606687903,2
2,24,"0",14,0.513871324061455,2
2,24,"1",74,7.24947349548353,1
2,25,"0",4,-0.590536091034857,1
2,25,"1",16.8,0.86768199378512,5
2,26,"1",0,-0.772210695868083,1
2,28,"1",0,-0.757821775833339,1
2,29,"1",-7,-1.8983356791708,1
2,32,"1",6,-0.245945109693906,1
2,43,"0",3,-0.617238541875417,1
3,0,"0",6,0.45499732507048,1
3,1,"0",3.77659574468085,-0.0185982817800872,94
3,1,"1",2.625,-0.658113140667445,16
3,2,"0",4.79310344827586,0.255810105463906,58
3,2,"1",6.45,0.232097193436728,40
3,3,"0",10,0.632003848965396,24
3,3,"1",4.08771929824561,0.152753983740655,57
3,4,"0",3.94736842105263,0.354240078226575,19
3,4,"1",4.88571428571429,-0.0359734047411056,70
3,5,"0",4,-0.125867192503466,11
3,5,"1",5.71052631578947,-0.0856122504436638,76
3,6,"0",6.8,0.704901321654589,20
3,6,"1",6.55882352941176,0.149336069624064,68
3,7,"0",4.8,-0.411027547898486,15
3,7,"1",5.37096774193548,-0.238672929977988,62
3,8,"0",7.25,-0.18270005067674,12
3,8,"1",4.17948717948718,-0.473433444001472,78
3,9,"0",12.125,0.207703558430641,8
3,9,"1",5.70731707317073,-0.379727696301646,41
3,10,"0",6.25,0.0164127191830885,20
3,10,"1",4.58823529411765,-0.168141876016411,102
3,11,"0",8.25,0.682111692596084,8
3,11,"1",5.92682926829268,0.0194910469732789,41
3,12,"0",4.5,0.936181548993415,2
3,12,"1",4.90476190476191,-0.21297382435661,42
3,13,"0",0.571428571428571,-0.939501730603904,7
3,13,"1",3.35294117647059,-0.360971762539756,17
3,14,"0",7.33333333333333,0.351215841080825,6
3,14,"1",4.38888888888889,-0.0964363799849159,18
3,15,"0",6.90909090909091,0.0430123512162277,11
3,15,"1",7.43478260869565,0.26093524630756,23
3,16,"0",9.66666666666667,0.440181213887286,6
3,16,"1",4.82352941176471,-0.447858718920222,17
3,17,"0",3.2,-0.624043339896723,5
3,17,"1",4.08333333333333,-0.45824516272876,12
3,18,"0",8.71428571428571,-0.0332374623411908,7
3,18,"1",1,-0.415441423278639,7
3,19,"0",5.33333333333333,-0.251294967085349,3
3,19,"1",7.33333333333333,-0.885497334306185,12
3,20,"0",8,-0.170219532870715,2
3,20,"1",3.23076923076923,-0.00972991493962233,13
3,21,"0",4.33333333333333,-0.601090584886819,3
3,21,"1",5.75,0.336265818711968,4
3,22,"0",37.5,2.77480733840994,2
3,22,"1",0,-1.20062149143452,2
3,23,"0",4.66666666666667,-0.432369914633907,3
3,23,"1",11,0.470469746586526,2
3,24,"0",3,-0.416017629533514,3
3,25,"1",15,-0.234586954658823,1
3,26,"0",4,-0.124754147383815,2
3,26,"1",15.25,1.03014243097511,4
3,27,"0",7,-0.740595048574889,1
3,27,"1",11,-0.488290537641938,1
3,28,"0",2,-0.105928326212109,1
3,28,"1",15,0.519216380037778,1
3,29,"0",15,0.465724744840812,1
3,30,"0",3,-0.174895598216825,1
3,36,"1",3,-0.936084207405567,1
3,40,"1",12,0.147396220802307,1
4,1,"0",5.27272727272727,0.764282310953991,33
4,1,"1",-4.5,0.444988466855815,4
4,2,"0",1.875,-0.579298943927206,8
4,2,"1",1.125,-0.625549873220443,8
4,3,"0",22.5,4.90130016584589,2
4,3,"1",7.55555555555556,1.52072120380651,9
4,4,"1",2,0.657345285183022,2
4,5,"0",58,-0.790060471385613,1
4,5,"1",9,3.56449705397414,2
4,6,"1",-3.5,-3.10729014741282,2
4,7,"0",10,1.49241128747708,1
4,7,"1",9.8,-0.728903228430638,5
4,8,"0",3,-1.8484517743086,1
4,8,"1",14.75,2.22947318543681,4
4,9,"1",-6.6,-0.155761588375414,5
4,10,"0",4,-2.54874484257896,1
4,10,"1",-10,-1.15203293839559,2
4,11,"1",0,-2.36076535790029,2
4,12,"0",-13,-3.00643840679517,1
4,12,"1",0,-2.09744514938376,1
4,13,"0",20.5,2.22882098925826,2
4,14,"1",-10,-2.67174950986837,1
4,16,"1",0,-1.53987385528899,1
4,20,"1",19,-1.04379148756414,1
4,32,"1",-11,-2.28745642665167,1
